timestamp,service_name,endpoint,count,error_count,avg_latency_ms,p99_latency_ms
2026-01-15T00:00:00,payment-service,/api/v1/payments,115,2,43,95
2026-01-15T01:00:00,payment-service,/api/v1/payments,98,1,41,88
2026-01-15T09:00:00,payment-service,/api/v1/payments,830,8,50,120
2026-01-15T12:00:00,payment-service,/api/v1/payments,1180,12,56,135
2026-01-15T17:00:00,payment-service,/api/v1/payments,940,9,53,125
2026-01-22T00:00:00,payment-service,/api/v1/payments,125,3,47,100
2026-01-22T09:00:00,payment-service,/api/v1/payments,860,7,51,118
2026-01-22T12:00:00,payment-service,/api/v1/payments,1220,11,59,140
2026-01-22T17:00:00,payment-service,/api/v1/payments,960,10,54,128
2026-01-29T00:00:00,payment-service,/api/v1/payments,118,2,44,92
2026-01-29T09:00:00,payment-service,/api/v1/payments,845,9,52,122
2026-01-29T12:00:00,payment-service,/api/v1/payments,1190,10,57,132
2026-01-29T17:00:00,payment-service,/api/v1/payments,935,8,55,126
2026-02-05T00:00:00,payment-service,/api/v1/payments,122,2,46,97
2026-02-05T09:00:00,payment-service,/api/v1/payments,870,8,53,121
2026-02-05T12:00:00,payment-service,/api/v1/payments,1210,13,58,138
2026-02-05T17:00:00,payment-service,/api/v1/payments,955,9,56,130
2026-01-15T00:00:00,order-service,/api/v1/orders,78,1,36,80
2026-01-15T10:00:00,order-service,/api/v1/orders,610,5,40,95
2026-01-15T14:00:00,order-service,/api/v1/orders,770,7,46,110
2026-01-15T20:00:00,order-service,/api/v1/orders,340,3,39,85
2026-01-22T00:00:00,order-service,/api/v1/orders,82,2,37,82
2026-01-22T10:00:00,order-service,/api/v1/orders,630,6,41,98
2026-01-22T14:00:00,order-service,/api/v1/orders,790,8,49,115
2026-01-22T20:00:00,order-service,/api/v1/orders,355,4,41,88
2026-01-29T10:00:00,order-service,/api/v1/orders,625,5,43,96
2026-01-29T14:00:00,order-service,/api/v1/orders,775,6,47,108
2026-02-05T10:00:00,order-service,/api/v1/orders,618,7,42,97
2026-02-05T14:00:00,order-service,/api/v1/orders,785,6,48,112
2026-02-12T00:00:00,payment-service,/api/v1/payments,250,15,90,200
2026-02-12T09:00:00,payment-service,/api/v1/payments,1500,45,120,280
2026-02-12T12:00:00,payment-service,/api/v1/payments,1600,50,110,260
2026-02-12T17:00:00,payment-service,/api/v1/payments,1200,30,95,230
2026-02-12T10:00:00,order-service,/api/v1/orders,900,25,85,195
2026-02-12T14:00:00,order-service,/api/v1/orders,1100,35,100,240
